City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.6872,128.8694,284.11,55,79,1.96,RU,1689382979
1,codrington,-38.2667,141.9667,284.61,74,100,5.2,AU,1689382979
2,bredasdorp,-34.5322,20.0403,285.5,62,4,3.16,ZA,1689382979
3,westport,41.1415,-73.3579,299.02,87,100,2.06,US,1689382979
4,puerto ayora,-0.7393,-90.3518,298.46,91,26,2.68,EC,1689382932
5,thompson,55.7435,-97.8558,285.24,94,100,6.17,CA,1689382739
6,uturoa,-16.7333,-151.4333,299.35,69,7,4.31,PF,1689382980
7,bodaybo,57.8506,114.1933,289.29,69,64,0.16,RU,1689382980
8,djibo,14.1022,-1.6306,299.7,73,100,4.4,BF,1689382980
9,tofol,5.3248,163.0078,302.14,73,27,6.08,FM,1689382980
10,avarua,-21.2078,-159.775,300.18,74,75,1.54,CK,1689382980
11,udachny,66.4167,112.4,281.18,56,31,6.24,RU,1689382980
12,adamstown,-25.066,-130.1015,294.59,77,1,5.34,PN,1689382981
13,whitehorse,60.7161,-135.0538,298.2,40,75,4.63,CA,1689382981
14,invercargill,-46.4,168.35,285.45,73,98,2.71,NZ,1689382981
15,kiruna,67.8557,20.2251,282.66,87,100,2.06,SE,1689382981
16,acarau,-2.8856,-40.12,298.93,80,1,6.45,BR,1689382869
17,port-aux-francais,-49.35,70.2167,275.34,63,80,16.93,TF,1689382981
18,waitangi,-43.9535,-176.5597,283.05,85,100,1.34,NZ,1689382982
19,nar'yan-mar,67.6713,53.087,287.29,73,6,2.23,RU,1689382982
20,vorgashor,67.5833,63.95,285.62,61,12,1.74,RU,1689382982
21,port alfred,-33.5906,26.891,290.32,42,100,5.99,ZA,1689382982
22,dunedin,-45.8742,170.5036,288.04,54,62,1.34,NZ,1689382950
23,papatowai,-46.5619,169.4708,285.71,66,93,2.57,NZ,1689382983
24,quang ngai,15.1167,108.8,303.33,63,99,1.49,VN,1689382690
25,borogontsy,62.6683,131.1683,293.55,55,1,2.74,RU,1689382983
26,georgetown,5.4112,100.3354,303.28,96,20,1.54,MY,1689382982
27,kobryn,52.2138,24.3564,288.0,72,12,1.52,BY,1689382984
28,saipan,15.1355,145.701,304.54,100,20,5.66,MP,1689382984
29,olinda,-8.0089,-34.8553,300.0,78,75,1.54,BR,1689382859
30,sitka,57.0531,-135.33,287.09,88,100,2.06,US,1689382984
31,puerto natales,-51.7236,-72.4875,270.57,92,100,0.84,CL,1689382985
32,west island,-12.1568,96.8225,298.14,73,100,8.23,CC,1689382985
33,glendive,47.1053,-104.7125,298.94,36,0,4.12,US,1689382893
34,taroa,8.7058,171.2275,301.57,74,63,8.14,MH,1689382985
35,isafjordur,66.0755,-23.124,279.36,94,100,7.54,IS,1689382986
